CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
106086010,BOCCHETTA A PAVIMENTO,981,6,8.01535E+12,12
106086020,BOCCHETTA A PAVIMENTO,981,7.12,8.01535E+12,12
106091100,SOTTOBOCCHETTA,983,13.16,8.01535E+12,6
106092000,BORCHIA IN FERRO,982,1.55,8.01535E+12,100
106093000,COPPIA ROSETTE CILINDRO EUROPEO,079E,4.93,8.01535E+12,1
106093010,COPPIA ROSETTE CIECHE,079E,4.93,8.01535E+12,1
106093020,COPPIA ROSETTE CHIAVE PATENT,079E,5.1,8.01535E+12,1
106093040,COPPIA ROSETTE CILINDRO EUROPEO OVALI,079E,4.85,8.01535E+12,1
106093100,POMOLO BAGNO SENZA INDICATORE,079E,18.77,8.01535E+12,1
106093110,POMOLO BAGNO CON INDICATORE,079E,18.77,8.01535E+12,1
106100100,CONTROP.OTT.52431/641.35,983,5.14,8.01535E+12,25
10610010012,CONTROP.NK X 52141/641,983,8.1,8.01535E+12,25
10610110012,CONTROP.C/ALETTA ARROT. FIN.12,983,8.1,8.01535E+12,25
10610110047,CONTROP.C/ALETTA ARROT. FIN.47,983,8.1,8.01535E+12,25
106102100,CONTROP.OTT.52411/621.35,983,4.3,8.01535E+12,25
10610210012,CONTROP.OTT.52411/621.35,983,7.24,8.01535E+12,25
106102130,CONTROPIASTRA PIANA,983,6.84,8.01535E+12,25
10610213012,CONTROPIASTRA PIANA,983,9.76,8.01535E+12,25
106106200,CONTROPIASTRA C/A GRANDE X HEAVY DUTY  SQUAD.,983,11.63,8.01535E+12,25
10610620020,CONTROPIASTRA X HEAVY DUTY X APH3 INOX SQUAD.,983,11.63,8.01535E+12,25
10610625020,CONTROPIASTRA X HEAVY DUTY X APH3 INOX ARR.,983,11.63,8.01535E+12,25
10610700012,CONTROPIASTRA PIANA,983,8.08,8.01535E+12,25
106110000,PULSANTE OTTONE,983,14.88,8.01535E+12,6
10611000012,PULSANTE NICH.,983,17.82,8.01535E+12,25
106110150,PULSANTE IN NYLON CON FERMO A GIORNO,981,18.87,8.01535E+12,12
